###Table full name: PANCANCER_ATLAS_1.PANCANCER_ATLAS_FILTERED.EBPP_ADJUSTPANCAN_ILLUMINAHISEQ_RNASEQV2_GENEXP_FILTERED
[
    normalized_count (Type: FLOAT; Sample values: ['649.975', '405.581', '1142.38', '699.417', '69.2101']; Description: Normalized gene expression)
    primary_neoplasm_melanoma_dx (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Primary neoplasm melanoma dx)
    acronym (Type: TEXT; Sample values: ['OV', 'OV', 'OV', 'OV', 'OV']; Description: TCGA study abbreviation, eg LAML. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/tcga-study-abbreviations)
    gender (Type: TEXT; Sample values: ['FEMALE', 'FEMALE', 'FEMALE', 'FEMALE', 'FEMALE']; Description: Participant gender; eg. MALE, FEMALE)
    field (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Field. Null for all participants.)
    eastern_cancer_oncology_group (Type: TEXT; Sample values: ['1', 'None', '0', 'None', 'None']; Description: Eastern cancer oncology group performance status. Integer number between 0 and 5.)
    person_neoplasm_cancer_status (Type: TEXT; Sample values: ['WITH TUMOR', 'WITH TUMOR', 'WITH TUMOR', 'WITH TUMOR', 'None']; Description: The participant's cancer status; Either WITH TUMOR or TUMOR FREE, [Unknown], [Discrepancy], and NULL)
    height (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Height of participant in centimeters)
    icd_10 (Type: TEXT; Sample values: ['C56.9', 'C56.9', 'C56.9', 'C56.9', 'C56.9']; Description: Alphanumeric value used to describe the disease code from the tenth version of the International Classification of Disease (ICD-10). Examples: C01, C55, C40.3)
    serum_markers (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Serum tumor markers (S))
    barretts_esophagus (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Barretts esophagus)
    hypertension (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: A human being._Abnormally high blood pressure._Indicator of Yes or No to a question. NCI CDE: 2935342)
    atypical_mitotic_figures (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: Atypical mitotic figures)
    laboratory_procedure_international_normalization_ratio_result_upper_limit_of_normal_value (Type: TEXT; Sample values: ['None', 'None', 'None', 'None', 'None']; Description: The upper limit of normal of the International Normalization Ratio value. NCI CDE: 2190394)
]

--------------------------------------------------

###Table full name: PANCANCER_ATLAS_1.PANCANCER_ATLAS_FILTERED.TCGA_RPPA_PANCAN_CLEAN_FILTERED
[
    Value (Type: FLOAT; Sample values: ['nan', '0.077853', '-0.91868', '0.018487', '0.44285']; Description: Expression level of protein as measured by reverse-phase protein arrays (RPPAs).Examples: 0.204238725,-0.01826295)
    Study (Type: TEXT; Sample values: ['OV', 'OV', 'OV', 'OV', 'OV']; Description: TCGA study abbreviation, eg LAML. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/tcga-study-abbreviations)
    Protein (Type: TEXT; Sample values: ['PDCD1', 'BCL2', 'EIF4E', 'SF2', 'MYOSINIIA_pS1943']; Description: Protein symbol and phosphorylation status (if applicable), eg P53, JNK_pT183Y185)
    SampleTypeLetterCode (Type: TEXT; Sample values: ['TP', 'TP', 'TP', 'TP', 'TP']; Description: Letter code of the sample type using the TCGA standards, eg TPN, EBV. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/sample-type-codes)
    SampleBarcode (Type: TEXT; Sample values: ['TCGA-04-1335-01A', 'TCGA-04-1335-01A', 'TCGA-04-1335-01A', 'TCGA-04-1335-01A', 'TCGA-04-1335-01A']; Description: Barcode of the biospecimen sample, eg TCGA-13-1489-02A)
    AliquotBarcode (Type: TEXT; Sample values: ['TCGA-04-1335-01A-21-20', 'TCGA-04-1335-01A-21-20', 'TCGA-04-1335-01A-21-20', 'TCGA-04-1335-01A-21-20', 'TCGA-04-1335-01A-21-20']; Description: TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-28)
    ParticipantBarcode (Type: TEXT; Sample values: ['TCGA-04-1335', 'TCGA-04-1335', 'TCGA-04-1335', 'TCGA-04-1335', 'TCGA-04-1335']; Description: TCGA barcode identifier for the study participant, eg TCGA-02-0001)
    SampleType (Type: TEXT; Sample values: ['Primary solid Tumor', 'Primary solid Tumor', 'Primary solid Tumor', 'Primary solid Tumor', 'Primary solid Tumor']; Description: There are 10 sample types: Blood Derived Normal, Primary solid Tumor, Solid Tissue Normal, Recurrent Solid Tumor, Metastatic, Additional - New Primary, Primary Blood Derived Cancer - Peripheral Blood, Buccal Cell Normal, Additioanal Metastatic, Bone Marrrow Normal)
]

--------------------------------------------------

###Table full name: PANCANCER_ATLAS_1.PANCANCER_ATLAS_FILTERED.ALL_CNVR_DATA_BY_GENE_FILTERED
[
    Gene_Symbol (Type: TEXT; Sample values: ['SLC44A3', 'FEZF2', 'SNORD55', 'FLT4', 'RP11-701P16.5']; Description: eg TP53, LRP1B, etc (same as Hugo_Symbol field except blank instead of Unknown)
    Study (Type: TEXT; Sample values: ['OV', 'OV', 'OV', 'OV', 'OV']; Description: TCGA study abbreviation, eg LAML. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/tcga-study-abbreviations)
    ParticipantBarcode (Type: TEXT; Sample values: ['TCGA-04-1331', 'TCGA-04-1331', 'TCGA-04-1331', 'TCGA-04-1331', 'TCGA-04-1331']; Description: TCGA barcode identifier for the study participant, eg TCGA-02-0001)
    SampleBarcode (Type: TEXT; Sample values: ['TCGA-04-1331-01A', 'TCGA-04-1331-01A', 'TCGA-04-1331-01A', 'TCGA-04-1331-01A', 'TCGA-04-1331-01A']; Description: Barcode of the biospecimen sample, eg TCGA-13-1489-02A)
    Locus_ID (Type: NUMBER; Sample values: ['126969', '55079', '26811', '2324', '731424']; Description: Gene locus ID, eg.  57380, 100616303)
    AliquotBarcode (Type: TEXT; Sample values: ['TCGA-04-1331-01A-01D-0428-01', 'TCGA-04-1331-01A-01D-0428-01', 'TCGA-04-1331-01A-01D-0428-01', 'TCGA-04-1331-01A-01D-0428-01', 'TCGA-04-1331-01A-01D-0428-01']; Description: TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-28)
    SampleTypeLetterCode (Type: TEXT; Sample values: ['TP', 'TP', 'TP', 'TP', 'TP']; Description: Letter code of the sample type using the TCGA standards, eg TPN, EBV. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/sample-type-codes)
    Cytoband (Type: TEXT; Sample values: ['1p21.3', '3p14.2', '1p34.1', '5q35.3', '4q35.1']; Description: Full cytoband name, including chromosome. E.g, 17p13.2 See https://www.ncbi.nlm.nih.gov/Class/MLACourse/Original8Hour/Genetics/chrombanding.html)
    SampleType (Type: TEXT; Sample values: ['Primary solid Tumor', 'Primary solid Tumor', 'Primary solid Tumor', 'Primary solid Tumor', 'Primary solid Tumor']; Description: There are 10 sample types: Blood Derived Normal, Primary solid Tumor, Solid Tissue Normal, Recurrent Solid Tumor, Metastatic, Additional - New Primary, Primary Blood Derived Cancer - Peripheral Blood, Buccal Cell Normal, Additioanal Metastatic, Bone Marrrow Normal)
]

--------------------------------------------------

###Table full name: PANCANCER_ATLAS_1.PANCANCER_ATLAS_FILTERED.MC3_MAF_V5_ONE_PER_TUMOR_SAMPLE
[
    Study (Type: TEXT; Sample values: ['GBM', 'GBM', 'GBM', 'GBM', 'OV']; Description: TCGA study abbreviation, eg LAML. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/tcga-study-abbreviations)
    Variant_Classification (Type: TEXT; Sample values: ['Missense_Mutation', 'Missense_Mutation', 'Missense_Mutation', 'Splice_Site', 'Missense_Mutation']; Description: Translational effect of variant allele; eg. Missense_Mutation, Nonsense_Mutation, etc.)
    Hugo_Symbol (Type: TEXT; Sample values: ['PIEZO2', 'FLG', 'COL24A1', 'HPS3', 'HLX']; Description: HUGO symbol for the gene (HUGO symbols are always in all caps). "Unknown" is used for regions that do not correspond to a gene)
    Normal_AliquotBarcode (Type: TEXT; Sample values: ['TCGA-02-2466-10A-01W-0837-08', 'TCGA-02-2466-10A-01W-0837-08', 'TCGA-02-2466-10A-01W-0837-08', 'TCGA-02-2466-10A-01W-0837-08', 'TCGA-04-1331-10A-01W-0486-08']; Description: Aliquot Barcode For The Normal Tissue. Examples: TCGA-CR-7385-10A-01D-2013-08, TCGA-DX-A3M1-10A-01D-A22A-09)
    Normal_SampleBarcode (Type: TEXT; Sample values: ['TCGA-02-2466-10A', 'TCGA-02-2466-10A', 'TCGA-02-2466-10A', 'TCGA-02-2466-10A', 'TCGA-04-1331-10A']; Description: Sample Barcode For The Normal Tissue. Examples: TCGA-V4-A9EI-10A, TCGA-V4-A9EI-10A)
    Normal_SampleTypeLetterCode (Type: TEXT; Sample values: ['NB', 'NB', 'NB', 'NB', 'NB']; Description: Sample Type Letter Code. The subset of 4 values currently used are: NBC, NB, NT, NBM. See https://Gdc.Cancer.Gov/Resources-Tcga-Users/Tcga-Code-Tables/Sample-Type-Codes)
    Tumor_AliquotBarcode (Type: TEXT; Sample values: ['TCGA-02-2466-01A-01W-0837-08', 'TCGA-02-2466-01A-01W-0837-08', 'TCGA-02-2466-01A-01W-0837-08', 'TCGA-02-2466-01A-01W-0837-08', 'TCGA-04-1331-01A-01W-0486-08']; Description: Original TCGA tumor aliquote barcode. Examples: TCGA-WC-A885-01A,TCGA-XF-AAN3-01A)
    Tumor_SampleBarcode (Type: TEXT; Sample values: ['TCGA-02-2466-01A', 'TCGA-02-2466-01A', 'TCGA-02-2466-01A', 'TCGA-02-2466-01A', 'TCGA-04-1331-01A']; Description: Original TCGA tumor sample barcode.TCGA-WC-A885-01A, TCGA-HQ-A2OF-01A.)
    ParticipantBarcode (Type: TEXT; Sample values: ['TCGA-02-2466', 'TCGA-02-2466', 'TCGA-02-2466', 'TCGA-02-2466', 'TCGA-04-1331']; Description: TCGA barcode identifier for the study participant, eg TCGA-02-0001)
    FILTER (Type: TEXT; Sample values: ['wga', 'wga', 'wga', 'wga', 'wga']; Description: List of failed filters (if any), or "PASS" indicating the variant has passed all filters.)
    HGVSc (Type: TEXT; Sample values: ['c.7016G>A', 'c.7045G>A', 'c.2185G>A', 'c.1401-2A>T', 'c.625G>A']; Description: The coding sequence of the variant in HGVS recommended format)
]

--------------------------------------------------

###Table full name: PANCANCER_ATLAS_1.PANCANCER_ATLAS_FILTERED.PURITY_PLOIDY_ALL_SAMPLES_FILTERED
[
    Study (Type: TEXT; Sample values: ['LAML', 'THYM', 'LUAD', 'KIRP', 'LUAD']; Description: TCGA study abbreviation, eg LAML. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/tcga-study-abbreviations)
    SampleBarcode (Type: TEXT; Sample values: ['TCGA-AB-2879-03A', 'TCGA-ZC-AAAH-01A', 'TCGA-44-3396-01A', 'TCGA-2K-A9WE-01A', 'TCGA-49-AAQV-01A']; Description: Barcode of the biospecimen sample, eg TCGA-13-1489-02A)
    ParticipantBarcode (Type: TEXT; Sample values: ['TCGA-AB-2879', 'TCGA-ZC-AAAH', 'TCGA-44-3396', 'TCGA-2K-A9WE', 'TCGA-49-AAQV']; Description: TCGA barcode identifier for the study participant, eg TCGA-02-0001)
    SampleTypeLetterCode (Type: TEXT; Sample values: ['TB', 'TP', 'TP', 'TP', 'TP']; Description: Letter code of the sample type using the TCGA standards, eg TPN, EBV. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/sample-type-codes)
    Ploidy (Type: FLOAT; Sample values: ['2.0', '2.0', '2.13', '2.38', '1.94']; Description: Value based on the DNA content of the tumor cell population compared to normal diploid)
    AliquotBarcode (Type: TEXT; Sample values: ['TCGA-AB-2879-03A-01D-0756-21', 'TCGA-ZC-AAAH-01A-11D-A427-01', 'TCGA-44-3396-01A-01D-1204-01', 'TCGA-2K-A9WE-01A-11D-A381-01', 'TCGA-49-AAQV-01A-11D-A396-01']; Description: TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-28)
    Cancer_DNA_fraction (Type: FLOAT; Sample values: ['0.25', '0.25', '0.25', '0.25', '0.25']; Description: Cancer DNA fractions; more information available at https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4383288/)
]

--------------------------------------------------

###Table full name: PANCANCER_ATLAS_1.PANCANCER_ATLAS_FILTERED.JHU_USC_EDU_PANCAN_HUMANMETHYLATION450_BETAVALUE_WHITELISTED_FILTERED
[
    Study (Type: TEXT; Sample values: ['GBM', 'GBM', 'GBM', 'GBM', 'GBM']; Description: TCGA study abbreviation, eg LAML. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/tcga-study-abbreviations)
    ParticipantBarcode (Type: TEXT; Sample values: ['TCGA-06-AABW', 'TCGA-06-AABW', 'TCGA-06-AABW', 'TCGA-06-AABW', 'TCGA-06-AABW']; Description: TCGA barcode identifier for the study participant, eg TCGA-02-0001)
    ID (Type: TEXT; Sample values: ['cg13326914', 'cg20566904', 'cg20795891', 'cg11608893', 'cg03895496']; Description: Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe)
    AliquotBarcode (Type: TEXT; Sample values: ['TCGA-06-AABW-11A-31D-A368-05', 'TCGA-06-AABW-11A-31D-A368-05', 'TCGA-06-AABW-11A-31D-A368-05', 'TCGA-06-AABW-11A-31D-A368-05', 'TCGA-06-AABW-11A-31D-A368-05']; Description: TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-28)
    SampleBarcode (Type: TEXT; Sample values: ['TCGA-06-AABW-11A', 'TCGA-06-AABW-11A', 'TCGA-06-AABW-11A', 'TCGA-06-AABW-11A', 'TCGA-06-AABW-11A']; Description: Barcode of the biospecimen sample, eg TCGA-13-1489-02A)
    SampleTypeLetterCode (Type: TEXT; Sample values: ['NT', 'NT', 'NT', 'NT', 'NT']; Description: Letter code of the sample type using the TCGA standards, eg TPN, EBV. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/sample-type-codes)
    SampleType (Type: TEXT; Sample values: ['Solid Tissue Normal', 'Solid Tissue Normal', 'Solid Tissue Normal', 'Solid Tissue Normal', 'Solid Tissue Normal']; Description: There are 10 sample types: Blood Derived Normal, Primary solid Tumor, Solid Tissue Normal, Recurrent Solid Tumor, Metastatic, Additional - New Primary, Primary Blood Derived Cancer - Peripheral Blood, Buccal Cell Normal, Additioanal Metastatic, Bone Marrrow Normal)
    Beta (Type: FLOAT; Sample values: ['0.828217', '0.8990459999999999', '0.0311908', '0.948874', '0.291718']; Description: Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated))
]
**Some other tables have the similar structure: [PANCANCER_ATLAS_FILTERED.JHU_USC_EDU_PANCAN_HUMANMETHYLATION27_BETAVALUE_WHITELISTED_FILTERED]**

--------------------------------------------------

###Table full name: PANCANCER_ATLAS_1.PANCANCER_ATLAS_FILTERED.JHU_USC_EDU_PANCAN_MERGED_HUMANMETHYLATION27_HUMANMETHYLATION450_BETAVALUE_WHITELISTED_FILTERED
[
    Study (Type: TEXT; Sample values: ['OV', 'OV', 'OV', 'OV', 'OV']; Description: TCGA study abbreviation, eg LAML. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/tcga-study-abbreviations)
    AliquotBarcode (Type: TEXT; Sample values: ['TCGA-01-0628-11A-01D-0383-05', 'TCGA-01-0628-11A-01D-0383-05', 'TCGA-01-0628-11A-01D-0383-05', 'TCGA-01-0628-11A-01D-0383-05', 'TCGA-01-0628-11A-01D-0383-05']; Description: TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-28)
    SampleTypeLetterCode (Type: TEXT; Sample values: ['NT', 'NT', 'NT', 'NT', 'NT']; Description: Letter code of the sample type using the TCGA standards, eg TPN, EBV. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/sample-type-codes)
    ID (Type: TEXT; Sample values: ['cg14892768', 'cg18636558', 'cg08080029', 'cg15479752', 'cg00503840']; Description: Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe)
    SampleBarcode (Type: TEXT; Sample values: ['TCGA-01-0628-11A', 'TCGA-01-0628-11A', 'TCGA-01-0628-11A', 'TCGA-01-0628-11A', 'TCGA-01-0628-11A']; Description: Barcode of the biospecimen sample, eg TCGA-13-1489-02A)
    ParticipantBarcode (Type: TEXT; Sample values: ['TCGA-01-0628', 'TCGA-01-0628', 'TCGA-01-0628', 'TCGA-01-0628', 'TCGA-01-0628']; Description: TCGA barcode identifier for the study participant, eg TCGA-02-0001)
    SampleType (Type: TEXT; Sample values: ['Solid Tissue Normal', 'Solid Tissue Normal', 'Solid Tissue Normal', 'Solid Tissue Normal', 'Solid Tissue Normal']; Description: There are 10 sample types: Blood Derived Normal, Primary solid Tumor, Solid Tissue Normal, Recurrent Solid Tumor, Metastatic, Additional - New Primary, Primary Blood Derived Cancer - Peripheral Blood, Buccal Cell Normal, Additioanal Metastatic, Bone Marrrow Normal)
    Beta (Type: FLOAT; Sample values: ['0.0601423404451476', '0.12449542110063', '0.0293399559924022', '0.875771879811699', '0.423619365466548']; Description: Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated))
]

--------------------------------------------------

###Table full name: PANCANCER_ATLAS_1.PANCANCER_ATLAS_FILTERED.PANCANMIRS_EBADJONPROTOCOLPLATFORMWITHOUTREPSWITHUNCORRECTMIRS_08_04_16_FILTERED
[
    Study (Type: TEXT; Sample values: ['OV', 'OV', 'OV', 'OV', 'OV']; Description: TCGA study abbreviation, eg LAML. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/tcga-study-abbreviations)
    ParticipantBarcode (Type: TEXT; Sample values: ['TCGA-04-1331', 'TCGA-04-1331', 'TCGA-04-1331', 'TCGA-04-1331', 'TCGA-04-1331']; Description: TCGA barcode identifier for the study participant, eg TCGA-02-0001)
    ID (Type: TEXT; Sample values: ['hsa-miR-129-2-3p', 'hsa-miR-3130-5p', 'hsa-miR-454-3p', 'hsa-miR-501-5p', 'hsa-miR-3613-3p']; Description: One of 1870 unique miRNA ids (aka symbols) contained in this table, eg hsa-mir-21 -- relevant reference information can be found in the isb-cgc:genome_reference dataset in the tables miRBase_v20 and miRBase_v20_hsa_gff3)
    SampleTypeLetterCode (Type: TEXT; Sample values: ['TP', 'TP', 'TP', 'TP', 'TP']; Description: Letter code of the sample type using the TCGA standards, eg TPN, EBV. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/sample-type-codes)
    AliquotBarcode (Type: TEXT; Sample values: ['TCGA-04-1331-01A-01R-1569-13', 'TCGA-04-1331-01A-01R-1569-13', 'TCGA-04-1331-01A-01R-1569-13', 'TCGA-04-1331-01A-01R-1569-13', 'TCGA-04-1331-01A-01R-1569-13']; Description: TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-28)
    SampleBarcode (Type: TEXT; Sample values: ['TCGA-04-1331-01A', 'TCGA-04-1331-01A', 'TCGA-04-1331-01A', 'TCGA-04-1331-01A', 'TCGA-04-1331-01A']; Description: Barcode of the biospecimen sample, eg TCGA-13-1489-02A)
    miRNAexpr (Type: FLOAT; Sample values: ['1.924155', '35.184554', '0.274879', '7.696621', '1.099517']; Description: Normalized abundance (i.e., reads per million, RPM))
    SampleType (Type: TEXT; Sample values: ['Primary solid Tumor', 'Primary solid Tumor', 'Primary solid Tumor', 'Primary solid Tumor', 'Primary solid Tumor']; Description: There are 10 sample types: Blood Derived Normal, Primary solid Tumor, Solid Tissue Normal, Recurrent Solid Tumor, Metastatic, Additional - New Primary, Primary Blood Derived Cancer - Peripheral Blood, Buccal Cell Normal, Additioanal Metastatic, Bone Marrrow Normal)
    Corrected (Type: TEXT; Sample values: ['Corrected', 'Corrected', 'Corrected', 'Corrected', 'Corrected']; Description: Corrected and Uncorrected indicator that specify if the miRs were corrected by the EBN+ method. See more details at https://www.synapse.org/#!Synapse:syn6171109)
]

--------------------------------------------------


External knowledge that might be helpful: 
# Regulome Explorer T test for numerical and binary data

Check out more notebooks at our ['Regulome Explorer Repository'](https://github.com/isb-cgc/Community-Notebooks/tree/master/RegulomeExplorer)!

In this notebook we describe the implementation of a student's t test to compute the significance of associations between a numerical feature (Gene expression, Somatic copy number, etc.) and Somatic mutation data which can be categorized into two groups according to the presence or absence of somatic mutations in a user defined gene. Detail of the test can be found the following link: [https://en.wikipedia.org/wiki/Welch%27s_t-test](https://en.wikipedia.org/wiki/Welch's_t-test)

To describe the implementation of the test using BigQuery, we will use Gene expresion data of a user defined gene and the precense or absence of somatic mutation of a user defined gene. This data is read from a BigQuery table in the pancancer-atlas dataset.

## Authenticate with Google (IMPORTANT)

The first step is to authorize access to BigQuery and the Google Cloud. For more information see ['Quick Start Guide to ISB-CGC'](https://isb-cancer-genomics-cloud.readthedocs.io/en/latest/sections/HowToGetStartedonISB-CGC.html) and alternative authentication methods can be found [here](https://googleapis.github.io/google-cloud-python/latest/core/auth.html).

#### Import Python libraries

In [1]:

```

```

## User defined Parameters

The parameters for this experiment are the cancer type, the name of gene for which gene expression data will be obtained, and the clinical feature name. Categorical groups with number of samples smaller than 'MinSampleSize' will be ignored in the test.

In [2]:

```

```

## Data from BigQuery tables

The first step is to select all participants in the selected study with a least one mutation.

In [3]:

```

```

**Gene expression data from the BigQuery:** The following query string retrieves the gene expression data of the user specified gene ('gene_expre') from the 'Filtered.EBpp_AdjustPANCAN_IlluminaHiSeq_RNASeqV2_genExp_filtered' table available in pancancer-atlas dataset. The gene expression of a participant is computed as the average gene expression of the tumor samples of the participant. Moreover, we are considering only samples with a least somatic mutation.

In [4]:

```

```

**Somatic mutation data from the BigQuery:** The following string query will retrieve a table with patients with at least one Somatic mutation in the user defined gene ('mutation_name'). This information is extracted from the 'pancancer-atlas.Filtered.MC3_MAF_V5_one_per_tumor_sample' table, available in pancancer-atlas dataset. Notice that we only use samples in which FILTER = 'PASS'.

In [5]:

```

```

At this point we can take a look at the combined data (Gene expression and Somatic mutation) by using a simple LEFT JOIN command. Participants with and without somatic mutations are labeled as 'YES' and 'NO' respectively.

In [6]:

```

 in runQuery ... 
    the results for this query were previously cached 
```

Out[6]:

|      |    data1 | data2 | ParticipantBarcode |
| ---: | -------: | ----: | -----------------: |
|    1 | 2.986545 |    NO |       TCGA-VW-A7QS |
|    2 | 2.398801 |   YES |       TCGA-DB-5280 |
|    3 | 2.513401 |   YES |       TCGA-HT-7611 |
|    4 | 3.063967 |    NO |       TCGA-DH-5141 |
|    5 | 2.549122 |    NO |       TCGA-HT-A616 |
|    6 | 2.769918 |    NO |       TCGA-HT-7694 |
|    7 | 2.527377 |   YES |       TCGA-CS-6290 |
|    8 | 2.832638 |    NO |       TCGA-HW-7495 |
|    9 | 2.373629 |   YES |       TCGA-WY-A85C |

To visualize the gene expression data in both groups with or without somatic mutation, we can use a 'violinplot' plot:

In [8]:

```

```

Out[8]:

```
<matplotlib.axes._subplots.AxesSubplot at 0x1a256eb2e8>
```

